X,Y,FACILITY_ID,TIME,CAPACITY,OCCUPATION,PERCENTAGE_OF_OCCUPATION
-500.0,-590.0,324_curbside_sensor,25200.0,0,0,0.0
-300.0,-590.0,325_curbside_sensor,25200.0,8,0,0.0
-100.0,-590.0,326_curbside_sensor,25200.0,0,0,0.0
100.0,-590.0,327_curbside_sensor,25200.0,0,0,0.0
300.0,-590.0,328_curbside_sensor,25200.0,0,0,0.0
500.0,-590.0,329_curbside_sensor,25200.0,0,0,0.0
700.0,-590.0,330_curbside_sensor,25200.0,9,0,0.0
900.0,-590.0,331_curbside_sensor,25200.0,0,0,0.0
-900.0,-390.0,333_curbside_sensor,25200.0,0,0,0.0
-700.0,-390.0,334_curbside_sensor,25200.0,7,0,0.0
-500.0,-390.0,335_curbside_sensor,25200.0,9,0,0.0
-300.0,-390.0,336_curbside_sensor,25200.0,7,0,0.0
-100.0,-390.0,337_curbside_sensor,25200.0,0,0,0.0
100.0,-390.0,338_curbside_sensor,25200.0,0,0,0.0
300.0,-390.0,339_curbside_sensor,25200.0,0,0,0.0
500.0,-390.0,340_curbside_sensor,25200.0,0,0,0.0
700.0,-390.0,341_curbside_sensor,25200.0,0,0,0.0
900.0,-390.0,342_curbside_sensor,25200.0,0,0,0.0
-900.0,-190.0,343_curbside_sensor,25200.0,0,0,0.0
-700.0,-190.0,344_curbside_sensor,25200.0,0,0,0.0
-500.0,-190.0,345_curbside_sensor,25200.0,0,0,0.0
-300.0,-190.0,346_curbside_sensor,25200.0,0,0,0.0
-100.0,-190.0,347_curbside_sensor,25200.0,0,0,0.0
100.0,-190.0,348_curbside_sensor,25200.0,0,0,0.0
500.0,-190.0,350_curbside_sensor,25200.0,0,0,0.0
700.0,-190.0,351_curbside_sensor,25200.0,0,0,0.0
900.0,-190.0,352_curbside_sensor,25200.0,0,0,0.0
-810.0,-900.0,402_curbside_sensor,25200.0,0,0,0.0
-610.0,-900.0,403_curbside_sensor,25200.0,0,0,0.0
-410.0,-900.0,404_curbside_sensor,25200.0,0,0,0.0
-210.0,-900.0,405_curbside_sensor,25200.0,0,0,0.0
-10.0,-900.0,406_curbside_sensor,25200.0,7,0,0.0
210.0,-900.0,407_curbside_sensor,25200.0,9,0,0.0
410.0,-900.0,408_curbside_sensor,25200.0,9,0,0.0
610.0,-900.0,409_curbside_sensor,25200.0,0,0,0.0
810.0,-900.0,410_curbside_sensor,25200.0,7,0,0.0
-810.0,-700.0,412_curbside_sensor,25200.0,8,0,0.0
-610.0,-700.0,413_curbside_sensor,25200.0,0,0,0.0
-410.0,-700.0,414_curbside_sensor,25200.0,9,0,0.0
-210.0,-700.0,415_curbside_sensor,25200.0,0,0,0.0
-10.0,-700.0,416_curbside_sensor,25200.0,0,0,0.0
210.0,-700.0,417_curbside_sensor,25200.0,0,0,0.0
410.0,-700.0,418_curbside_sensor,25200.0,0,0,0.0
610.0,-700.0,419_curbside_sensor,25200.0,7,0,0.0
810.0,-700.0,420_curbside_sensor,25200.0,0,0,0.0
-810.0,-500.0,423_curbside_sensor,25200.0,9,0,0.0
-610.0,-500.0,424_curbside_sensor,25200.0,9,0,0.0
-410.0,-500.0,425_curbside_sensor,25200.0,0,0,0.0
